,match_date,total_events,total_matches,total_players,total_teams
0,2015-10-07,5,5,50,10
1,2015-10-08,8,25,140,28
2,2015-10-09,5,18,99,19
3,2015-10-10,3,6,60,12
4,2015-10-11,3,5,40,8
5,2015-10-12,6,8,70,14
6,2015-10-13,10,26,164,33
7,2015-10-14,9,28,165,33
8,2015-10-15,10,31,209,42
9,2015-10-16,7,21,129,26
10,2015-10-17,5,20,110,22
11,2015-10-18,8,45,230,46
12,2015-10-19,8,29,195,39
13,2015-10-20,9,26,176,35
14,2015-10-21,7,22,155,31
15,2015-10-22,9,23,149,30
16,2015-10-23,7,13,100,20
17,2015-10-24,6,18,130,26
18,2015-10-25,11,30,190,37
19,2015-10-26,1,2,20,4
20,2015-10-27,5,8,60,12
21,2015-10-28,4,14,130,26
22,2015-10-29,5,14,125,25
23,2015-10-30,5,14,122,26
24,2015-10-31,4,11,100,20
25,2015-11-01,3,6,50,10
26,2015-11-02,1,2,20,4
27,2015-11-03,6,16,116,23
28,2015-11-04,10,29,193,39
29,2015-11-05,9,26,163,32
30,2015-11-06,8,18,136,27
31,2015-11-07,5,20,160,32
32,2015-11-08,6,15,120,24
33,2015-11-09,5,7,59,12
34,2015-11-10,5,10,74,15
35,2015-11-11,9,28,179,36
36,2015-11-12,11,32,205,41
37,2015-11-13,8,26,177,35
38,2015-11-14,5,18,120,23
39,2015-11-15,6,25,125,24
40,2015-11-16,10,28,156,31
41,2015-11-17,7,43,202,40
42,2015-11-18,7,22,140,28
43,2015-11-19,6,17,96,19
44,2015-11-20,8,40,202,40
45,2015-11-21,7,23,150,30
46,2015-11-22,6,16,125,25
47,2015-11-23,5,6,54,11
48,2015-11-24,6,10,81,16
49,2015-11-25,6,13,100,20
50,2015-11-26,7,19,140,28
51,2015-11-27,5,15,125,25
52,2015-11-28,7,23,145,29
53,2015-11-29,5,8,65,13
54,2015-11-30,7,12,110,22
55,2015-12-01,11,19,150,30
56,2015-12-02,10,24,181,36
57,2015-12-03,9,22,152,30
58,2015-12-04,10,26,221,44
59,2015-12-05,11,27,205,41
60,2015-12-06,10,34,213,42
61,2015-12-07,9,13,130,26
62,2015-12-08,7,13,94,19
63,2015-12-09,7,15,111,22
64,2015-12-10,8,20,152,30
65,2015-12-11,7,17,130,26
66,2015-12-12,5,21,136,27
67,2015-12-13,7,15,100,20
68,2015-12-14,9,16,139,28
69,2015-12-15,11,23,180,36
70,2015-12-16,11,25,188,37
71,2015-12-17,11,21,169,34
72,2015-12-18,11,27,236,47
73,2015-12-19,9,32,210,42
74,2015-12-20,5,13,90,18
75,2015-12-22,1,2,15,3
76,2016-01-03,1,1,10,2
77,2016-01-04,2,3,27,6
78,2016-01-05,1,4,21,4
79,2016-01-06,2,7,65,13
80,2016-01-07,4,11,90,18
81,2016-01-08,4,14,110,22
82,2016-01-09,4,10,80,16
83,2016-01-10,5,24,140,28
84,2016-01-11,3,5,45,9
85,2016-01-12,4,8,55,11
86,2016-01-13,3,6,40,8
87,2016-01-14,5,11,75,15
88,2016-01-15,6,9,80,16
89,2016-01-16,4,11,85,17
90,2016-01-17,4,9,70,14
91,2016-01-18,4,9,65,14
92,2016-01-19,4,8,69,14
93,2016-01-20,3,8,50,10
94,2016-01-21,4,6,60,12
95,2016-01-22,4,16,100,20
96,2016-01-23,3,10,80,16
97,2016-01-24,3,7,55,11
98,2016-01-25,3,4,40,8
99,2016-01-26,5,14,105,21
100,2016-01-27,3,4,38,8
101,2016-01-28,5,10,99,20
102,2016-01-29,5,14,79,16
103,2016-01-30,4,11,65,13
104,2016-01-31,4,9,80,16
105,2016-02-01,6,8,80,16
106,2016-02-02,5,8,80,16
107,2016-02-03,5,7,69,14
108,2016-02-04,6,12,90,18
109,2016-02-05,6,24,129,26
110,2016-02-06,5,16,119,24
111,2016-02-07,2,3,30,6
112,2016-02-08,6,9,78,16
113,2016-02-09,8,15,124,25
114,2016-02-10,5,29,161,32
115,2016-02-11,8,39,265,53
116,2016-02-12,6,20,148,30
117,2016-02-13,2,9,50,10
118,2016-02-14,4,14,111,22
119,2016-02-15,10,24,178,36
120,2016-02-16,8,14,100,20
121,2016-02-17,7,21,134,27
122,2016-02-18,7,14,107,21
123,2016-02-19,7,26,145,29
124,2016-02-20,4,22,111,22
125,2016-02-21,7,33,189,38
126,2016-02-22,8,17,122,24
127,2016-02-23,8,23,165,33
128,2016-02-24,7,23,151,30
129,2016-02-25,9,14,114,22
130,2016-02-26,6,15,120,24
131,2016-02-27,3,24,130,26
132,2016-02-28,4,10,75,15
133,2016-02-29,1,1,10,2
134,2016-03-01,3,4,39,8
135,2016-03-02,4,18,60,12
136,2016-03-03,2,17,50,10
137,2016-03-04,3,9,70,14
138,2016-03-05,2,11,50,10
139,2016-03-06,3,8,65,13
140,2016-03-07,5,9,75,15
141,2016-03-08,3,13,87,17
142,2016-03-09,5,22,134,27
143,2016-03-10,7,21,130,26
144,2016-03-11,4,13,85,17
145,2016-03-12,5,25,230,46
146,2016-03-13,5,50,294,59
147,2016-03-14,8,15,101,20
148,2016-03-15,7,16,105,21
149,2016-03-16,5,16,108,22
150,2016-03-17,6,18,135,27
151,2016-03-18,5,16,90,18
152,2016-03-19,7,26,175,35
153,2016-03-20,6,34,180,36
154,2016-03-21,8,17,125,25
155,2016-03-22,7,20,150,30
156,2016-03-23,6,22,160,32
157,2016-03-24,9,114,437,87
158,2016-03-25,8,59,295,59
159,2016-03-26,3,15,90,18
160,2016-03-27,4,20,144,29
161,2016-03-28,6,8,75,15
162,2016-03-29,2,8,80,16
163,2016-03-30,4,14,130,26
164,2016-03-31,4,11,105,21
165,2016-04-01,4,9,80,16
166,2016-04-02,2,5,45,9
167,2016-04-03,5,7,70,14
168,2016-04-04,3,4,40,8
169,2016-04-05,2,3,30,6
170,2016-04-06,7,12,86,17
171,2016-04-07,7,21,135,27
172,2016-04-08,9,22,165,32
173,2016-04-09,5,17,105,20
174,2016-04-10,7,16,120,24
175,2016-04-11,6,9,80,16
176,2016-04-12,3,13,130,26
177,2016-04-13,6,17,169,34
178,2016-04-14,7,14,128,26
179,2016-04-15,4,9,75,15
180,2016-04-16,5,10,100,20
181,2016-04-17,4,8,70,14
182,2016-04-18,4,5,45,9
183,2016-04-19,7,21,155,31
184,2016-04-20,8,26,170,34
185,2016-04-21,10,31,190,38
186,2016-04-22,7,15,120,24
187,2016-04-23,7,24,160,32
188,2016-04-24,5,29,190,38
189,2016-04-25,9,19,145,29
190,2016-04-26,7,22,145,29
191,2016-04-27,10,27,200,40
192,2016-04-28,7,18,148,30
193,2016-04-29,5,14,115,23
194,2016-04-30,5,17,155,31
195,2016-05-01,5,20,145,29
196,2016-05-02,3,3,30,6
197,2016-05-03,4,7,65,13
198,2016-05-04,4,8,80,16
