,date,country,total_events
1,2015-10-07,Denmark,1
2,2015-10-07,France,1
5,2015-10-07,Poland,1
7,2015-10-07,Sweden,2
27,2015-10-08,United States,2
26,2015-10-08,Ukraine,2
19,2015-10-08,Russia,3
24,2015-10-08,Sweden,3
12,2015-10-08,Germany,3
11,2015-10-08,Denmark,3
39,2015-10-09,United States,2
36,2015-10-09,Poland,2
38,2015-10-09,Sweden,2
32,2015-10-09,France,1
30,2015-10-09,Denmark,2
49,2015-10-10,Sweden,2
48,2015-10-10,Russia,1
47,2015-10-10,Poland,1
43,2015-10-10,France,1
42,2015-10-10,Denmark,1
40,2015-10-10,Brazil,1
44,2015-10-10,Germany,1
54,2015-10-11,Russia,3
56,2015-10-11,Ukraine,2
53,2015-10-11,Poland,1
55,2015-10-11,Sweden,3
51,2015-10-11,Denmark,1
52,2015-10-11,France,1
68,2015-10-12,United States,1
67,2015-10-12,Ukraine,3
66,2015-10-12,Sweden,2
64,2015-10-12,Russia,3
60,2015-10-12,Denmark,1
57,2015-10-12,Brazil,1
86,2015-10-13,Ukraine,5
85,2015-10-13,Sweden,5
83,2015-10-13,Russia,5
81,2015-10-13,Poland,2
76,2015-10-13,Germany,3
75,2015-10-13,France,2
73,2015-10-13,Denmark,4
103,2015-10-14,Russia,4
105,2015-10-14,Sweden,4
109,2015-10-14,United Kingdom,1
108,2015-10-14,Ukraine,4
101,2015-10-14,Poland,3
110,2015-10-14,United States,3
97,2015-10-14,France,3
98,2015-10-14,Germany,4
91,2015-10-14,Brazil,2
95,2015-10-14,Denmark,4
128,2015-10-15,Poland,3
130,2015-10-15,Russia,4
132,2015-10-15,Sweden,6
133,2015-10-15,Ukraine,5
134,2015-10-15,United Kingdom,1
135,2015-10-15,United States,3
113,2015-10-15,Brazil,1
120,2015-10-15,France,4
121,2015-10-15,Germany,3
117,2015-10-15,Denmark,3
153,2015-10-16,United States,3
152,2015-10-16,Ukraine,2
149,2015-10-16,Russia,2
148,2015-10-16,Poland,1
151,2015-10-16,Sweden,3
142,2015-10-16,France,2
140,2015-10-16,Denmark,1
137,2015-10-16,Brazil,2
163,2015-10-17,Sweden,1
159,2015-10-17,Germany,2
158,2015-10-17,France,1
156,2015-10-17,Denmark,2
183,2015-10-18,United States,2
182,2015-10-18,Ukraine,4
181,2015-10-18,Sweden,2
179,2015-10-18,Russia,4
178,2015-10-18,Poland,2
172,2015-10-18,Germany,2
171,2015-10-18,France,2
169,2015-10-18,Denmark,4
193,2015-10-19,Russia,3
198,2015-10-19,United States,2
197,2015-10-19,Ukraine,3
195,2015-10-19,Sweden,3
189,2015-10-19,France,3
188,2015-10-19,Denmark,4
185,2015-10-19,Brazil,1
191,2015-10-19,Poland,3
212,2015-10-20,Poland,2
214,2015-10-20,Russia,3
218,2015-10-20,Ukraine,3
219,2015-10-20,United Kingdom,1
