,country,total_events,total_matches,total_players,total_teams,total_matches/event,total_teams/event,total_players/event
0,Denmark,926,7113,682,394,8.0,0.0,1.0
1,Sweden,908,6741,575,452,7.0,0.0,1.0
2,Russia,870,5675,551,379,7.0,0.0,1.0
3,Poland,692,3929,301,233,6.0,0.0,0.0
4,France,661,3732,223,198,6.0,0.0,0.0
5,Brazil,641,4236,659,265,7.0,0.0,1.0
6,United States,618,7850,1519,760,13.0,1.0,2.0
7,Ukraine,616,3636,162,193,6.0,0.0,0.0
8,Germany,603,3414,259,164,6.0,0.0,0.0
9,United Kingdom,566,2575,176,167,5.0,0.0,0.0
10,Finland,539,2913,328,146,5.0,0.0,1.0
11,Canada,537,6027,332,437,11.0,1.0,1.0
12,Bulgaria,489,2088,78,85,4.0,0.0,0.0
13,Belgium,483,2189,75,134,5.0,0.0,0.0
14,Norway,436,2284,296,148,5.0,0.0,1.0
15,Slovakia,419,2014,66,65,5.0,0.0,0.0
16,Estonia,389,1563,70,90,4.0,0.0,0.0
17,Turkey,378,1535,90,80,4.0,0.0,0.0
18,Australia,378,3813,479,218,10.0,1.0,1.0
19,Kazakhstan,375,1503,71,64,4.0,0.0,0.0
20,Serbia,367,1531,115,132,4.0,0.0,0.0
21,Netherlands,362,1479,89,82,4.0,0.0,0.0
22,Lithuania,352,1200,104,92,3.0,0.0,0.0
23,Latvia,330,1212,114,108,4.0,0.0,0.0
24,Spain,317,1354,102,73,4.0,0.0,0.0
25,China,311,2415,519,169,8.0,1.0,2.0
26,Czech Republic,302,1177,97,65,4.0,0.0,0.0
27,Belarus,291,1100,83,84,4.0,0.0,0.0
28,Hungary,281,1076,87,98,4.0,0.0,0.0
29,Argentina,236,917,170,82,4.0,0.0,1.0
30,Indonesia,230,866,89,48,4.0,0.0,0.0
31,New Zealand,228,1899,60,92,8.0,0.0,0.0
32,Mongolia,219,987,141,53,5.0,0.0,1.0
33,Portugal,213,761,168,85,4.0,0.0,1.0
34,Thailand,182,773,145,40,4.0,0.0,1.0
35,Malaysia,171,609,104,46,4.0,0.0,1.0
36,Singapore,170,566,129,68,3.0,0.0,1.0
37,Romania,166,661,107,64,4.0,0.0,1.0
38,Bosnia and Herzegovina,150,761,13,27,5.0,0.0,0.0
39,South Africa,147,541,208,61,4.0,0.0,1.0
40,Hong Kong,140,532,111,56,4.0,0.0,1.0
41,Korea,139,553,232,60,4.0,0.0,2.0
42,Mexico,138,470,72,52,3.0,0.0,1.0
43,Switzerland,134,382,46,55,3.0,0.0,0.0
44,Jordan,115,442,34,34,4.0,0.0,0.0
45,Chile,110,318,111,60,3.0,1.0,1.0
46,India,103,361,177,62,4.0,1.0,2.0
47,Philippines,101,285,115,32,3.0,0.0,1.0
48,Vietnam,99,336,106,46,3.0,0.0,1.0
49,Taiwan,97,246,71,29,3.0,0.0,1.0
50,Macedonia,97,353,35,28,4.0,0.0,0.0
51,Japan,91,257,100,38,3.0,0.0,1.0
52,Israel,91,237,43,38,3.0,0.0,0.0
53,Azerbaijan,78,182,11,23,2.0,0.0,0.0
54,Colombia,78,224,96,48,3.0,1.0,1.0
55,Uzbekistan,72,218,16,13,3.0,0.0,0.0
56,Uruguay,65,217,18,19,3.0,0.0,0.0
57,United Arab Emirates,64,195,62,33,3.0,1.0,1.0
58,Kyrgyzstan,61,164,18,23,3.0,0.0,0.0
59,Algeria,56,121,28,35,2.0,1.0,0.0
60,Guatemala,50,124,14,13,2.0,0.0,0.0
61,Austria,50,122,55,33,2.0,1.0,1.0
62,Peru,49,159,117,46,3.0,1.0,2.0
63,Slovenia,48,150,24,23,3.0,0.0,0.0
64,Greece,43,141,55,30,3.0,1.0,1.0
65,Ireland,43,127,10,25,3.0,1.0,0.0
66,Albania,41,85,13,18,2.0,0.0,0.0
67,Croatia,39,149,28,23,4.0,1.0,1.0
68,Iraq,37,81,13,26,2.0,1.0,0.0
69,Lebanon,33,94,60,34,3.0,1.0,2.0
70,Tunisia,33,88,49,31,3.0,1.0,1.0
71,Syria,29,59,9,18,2.0,1.0,0.0
72,Italy,29,73,59,26,3.0,1.0,2.0
73,Iceland,28,85,73,18,3.0,1.0,3.0
74,Kuwait,27,60,31,16,2.0,1.0,1.0
75,Ecuador,18,31,20,7,2.0,0.0,1.0
76,Pakistan,18,40,42,19,2.0,1.0,2.0
77,Venezuela,17,35,18,17,2.0,1.0,1.0
78,Montenegro,14,30,9,10,2.0,1.0,1.0
79,Saudi Arabia,13,36,29,13,3.0,1.0,2.0
80,Morocco,12,23,23,10,2.0,1.0,2.0
81,Moldova,11,19,13,9,2.0,1.0,1.0
82,Iran,10,26,48,11,3.0,1.0,5.0
83,Sri Lanka,7,14,19,9,2.0,1.0,3.0
84,Brunei,7,19,38,7,3.0,1.0,5.0
85,Dominican Republic,7,12,8,5,2.0,1.0,1.0
86,Paraguay,6,9,14,4,2.0,1.0,2.0
87,Macau,6,11,9,5,2.0,1.0,2.0
88,Georgia,6,16,27,7,3.0,1.0,4.0
89,Egypt,6,8,9,6,1.0,1.0,2.0
90,Myanmar,5,17,29,8,3.0,2.0,6.0
91,Bolivia,5,7,7,2,1.0,0.0,1.0
92,Laos,5,15,37,7,3.0,1.0,7.0
93,Cambodia,5,17,34,6,3.0,1.0,7.0
94,Bahrain,4,7,6,5,2.0,1.0,2.0
95,Malta,4,4,10,4,1.0,1.0,2.0
96,Turkmenistan,3,10,10,2,3.0,1.0,3.0
97,Qatar,3,3,11,3,1.0,1.0,4.0
98,Maldives,3,7,6,2,2.0,1.0,2.0
99,Panama,3,4,3,3,1.0,1.0,1.0
100,Bangladesh,2,5,20,4,2.0,2.0,10.0
101,Luxembourg,2,4,1,2,2.0,1.0,0.0
102,Libya,2,4,5,2,2.0,1.0,2.0
103,Costa Rica,2,2,1,2,1.0,1.0,0.0
104,Nepal,2,4,9,2,2.0,1.0,4.0
105,El Salvador,2,3,7,2,2.0,1.0,4.0
106,Faroe Islands,2,3,1,2,2.0,1.0,0.0
107,Palestine,2,3,5,2,2.0,1.0,2.0
108,Namibia,1,3,5,1,3.0,1.0,5.0
109,Other,1,5,5,1,5.0,1.0,5.0
110,Armenia,1,1,4,1,1.0,1.0,4.0
111,Cyprus,1,1,5,1,1.0,1.0,5.0
112,Afghanistan,0,0,0,0,0.0,0.0,0.0
113,Aland Islands,0,0,0,0,0.0,0.0,0.0
114,American Samoa,0,0,0,0,0.0,0.0,0.0
115,Andorra,0,0,0,0,0.0,0.0,0.0
116,Angola,0,0,0,0,0.0,0.0,0.0
117,Anguilla,0,0,0,0,0.0,0.0,0.0
118,Antarctica,0,0,0,0,0.0,0.0,0.0
119,Antigua and Barbuda,0,0,0,0,0.0,0.0,0.0
120,Aruba,0,0,0,0,0.0,0.0,0.0
121,Bahamas,0,0,0,0,0.0,0.0,0.0
122,Barbados,0,0,0,0,0.0,0.0,0.0
123,Belize,0,0,0,0,0.0,0.0,0.0
124,Benin,0,0,0,0,0.0,0.0,0.0
125,Bermuda,0,0,0,0,0.0,0.0,0.0
126,Bhutan,0,0,0,0,0.0,0.0,0.0
127,"Bolivia, Plurinational State of",0,0,0,0,0.0,0.0,0.0
128,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0.0,0.0,0.0
129,Botswana,0,0,0,0,0.0,0.0,0.0
130,Bouvet Island,0,0,0,0,0.0,0.0,0.0
131,British Indian Ocean Territory,0,0,0,0,0.0,0.0,0.0
132,Brunei Darussalam,0,0,0,0,0.0,0.0,0.0
133,Burkina Faso,0,0,0,0,0.0,0.0,0.0
134,Burundi,0,0,0,0,0.0,0.0,0.0
135,Cameroon,0,0,0,0,0.0,0.0,0.0
136,Cape Verde,0,0,0,0,0.0,0.0,0.0
137,Cayman Islands,0,0,0,0,0.0,0.0,0.0
138,Central African Republic,0,0,0,0,0.0,0.0,0.0
139,Chad,0,0,0,0,0.0,0.0,0.0
140,Christmas Island,0,0,0,0,0.0,0.0,0.0
141,Cocos (Keeling) Islands,0,0,0,0,0.0,0.0,0.0
142,Comoros,0,0,0,0,0.0,0.0,0.0
143,Congo,0,0,0,0,0.0,0.0,0.0
144,"Congo, The Democratic Republic of the",0,0,0,0,0.0,0.0,0.0
145,Cook Islands,0,0,0,0,0.0,0.0,0.0
146,Côte d'Ivoire,0,0,0,0,0.0,0.0,0.0
147,Cuba,0,0,0,0,0.0,0.0,0.0
148,Curaçao,0,0,0,0,0.0,0.0,0.0
149,Djibouti,0,0,0,0,0.0,0.0,0.0
150,Dominica,0,0,0,0,0.0,0.0,0.0
151,Equatorial Guinea,0,0,0,0,0.0,0.0,0.0
152,Eritrea,0,0,0,0,0.0,0.0,0.0
153,Ethiopia,0,0,0,0,0.0,0.0,0.0
154,Falkland Islands (Malvinas),0,0,0,0,0.0,0.0,0.0
155,Fiji,0,0,0,0,0.0,0.0,0.0
156,French Guiana,0,0,0,0,0.0,0.0,0.0
157,French Polynesia,0,0,0,0,0.0,0.0,0.0
158,French Southern Territories,0,0,0,0,0.0,0.0,0.0
159,Gabon,0,0,0,0,0.0,0.0,0.0
160,Gambia,0,0,0,0,0.0,0.0,0.0
161,Ghana,0,0,0,0,0.0,0.0,0.0
162,Gibraltar,0,0,0,0,0.0,0.0,0.0
163,Greenland,0,0,0,0,0.0,0.0,0.0
164,Grenada,0,0,0,0,0.0,0.0,0.0
165,Guadeloupe,0,0,0,0,0.0,0.0,0.0
166,Guam,0,0,0,0,0.0,0.0,0.0
167,Guernsey,0,0,0,0,0.0,0.0,0.0
168,Guinea,0,0,0,0,0.0,0.0,0.0
169,Guinea-Bissau,0,0,0,0,0.0,0.0,0.0
170,Guyana,0,0,0,0,0.0,0.0,0.0
171,Haiti,0,0,0,0,0.0,0.0,0.0
172,Heard Island and McDonald Islands,0,0,0,0,0.0,0.0,0.0
173,Holy See (Vatican City State),0,0,0,0,0.0,0.0,0.0
174,Honduras,0,0,0,0,0.0,0.0,0.0
175,"Iran, Islamic Republic of",0,0,0,0,0.0,0.0,0.0
176,Isle of Man,0,0,0,0,0.0,0.0,0.0
177,Jamaica,0,0,0,0,0.0,0.0,0.0
178,Jersey,0,0,0,0,0.0,0.0,0.0
179,Kenya,0,0,0,0,0.0,0.0,0.0
180,Kiribati,0,0,0,0,0.0,0.0,0.0
181,"Korea, Democratic People's Republic of",0,0,0,0,0.0,0.0,0.0
182,"Korea, Republic of",0,0,0,0,0.0,0.0,0.0
183,Lao People's Democratic Republic,0,0,0,0,0.0,0.0,0.0
184,Lesotho,0,0,0,0,0.0,0.0,0.0
185,Liberia,0,0,0,0,0.0,0.0,0.0
186,Liechtenstein,0,0,0,0,0.0,0.0,0.0
187,Macao,0,0,0,0,0.0,0.0,0.0
188,"Macedonia, Republic of",0,0,0,0,0.0,0.0,0.0
189,Madagascar,0,0,0,0,0.0,0.0,0.0
190,Malawi,0,0,0,0,0.0,0.0,0.0
191,Mali,0,0,0,0,0.0,0.0,0.0
192,Marshall Islands,0,0,0,0,0.0,0.0,0.0
193,Martinique,0,0,0,0,0.0,0.0,0.0
194,Mauritania,0,0,0,0,0.0,0.0,0.0
195,Mauritius,0,0,0,0,0.0,0.0,0.0
196,Mayotte,0,0,0,0,0.0,0.0,0.0
197,"Micronesia, Federated States of",0,0,0,0,0.0,0.0,0.0
198,"Moldova, Republic of",0,0,0,0,0.0,0.0,0.0
199,Monaco,0,0,0,0,0.0,0.0,0.0
200,Montserrat,0,0,0,0,0.0,0.0,0.0
201,Mozambique,0,0,0,0,0.0,0.0,0.0
202,Nauru,0,0,0,0,0.0,0.0,0.0
203,New Caledonia,0,0,0,0,0.0,0.0,0.0
204,Nicaragua,0,0,0,0,0.0,0.0,0.0
205,Niger,0,0,0,0,0.0,0.0,0.0
206,Nigeria,0,0,0,0,0.0,0.0,0.0
207,Niue,0,0,0,0,0.0,0.0,0.0
208,Norfolk Island,0,0,0,0,0.0,0.0,0.0
209,Northern Mariana Islands,0,0,0,0,0.0,0.0,0.0
210,Oman,0,0,0,0,0.0,0.0,0.0
211,Palau,0,0,0,0,0.0,0.0,0.0
212,"Palestinian Territory, Occupied",0,0,0,0,0.0,0.0,0.0
213,Papua New Guinea,0,0,0,0,0.0,0.0,0.0
214,Pitcairn,0,0,0,0,0.0,0.0,0.0
215,Puerto Rico,0,0,0,0,0.0,0.0,0.0
216,Réunion,0,0,0,0,0.0,0.0,0.0
217,Russian Federation,0,0,0,0,0.0,0.0,0.0
218,Rwanda,0,0,0,0,0.0,0.0,0.0
219,Saint Barthélemy,0,0,0,0,0.0,0.0,0.0
220,"Saint Helena, Ascension and Tristan da Cunha",0,0,0,0,0.0,0.0,0.0
221,Saint Kitts and Nevis,0,0,0,0,0.0,0.0,0.0
222,Saint Lucia,0,0,0,0,0.0,0.0,0.0
223,Saint Martin (French part),0,0,0,0,0.0,0.0,0.0
224,Saint Pierre and Miquelon,0,0,0,0,0.0,0.0,0.0
225,Saint Vincent and the Grenadines,0,0,0,0,0.0,0.0,0.0
226,Samoa,0,0,0,0,0.0,0.0,0.0
227,San Marino,0,0,0,0,0.0,0.0,0.0
228,Sao Tome and Principe,0,0,0,0,0.0,0.0,0.0
229,Senegal,0,0,0,0,0.0,0.0,0.0
230,Seychelles,0,0,0,0,0.0,0.0,0.0
231,Sierra Leone,0,0,0,0,0.0,0.0,0.0
232,Sint Maarten (Dutch part),0,0,0,0,0.0,0.0,0.0
233,Solomon Islands,0,0,0,0,0.0,0.0,0.0
234,Somalia,0,0,0,0,0.0,0.0,0.0
235,South Georgia and the South Sandwich Islands,0,0,0,0,0.0,0.0,0.0
236,Sudan,0,0,0,0,0.0,0.0,0.0
237,Suriname,0,0,0,0,0.0,0.0,0.0
238,South Sudan,0,0,0,0,0.0,0.0,0.0
239,Svalbard and Jan Mayen,0,0,0,0,0.0,0.0,0.0
240,Swaziland,0,0,0,0,0.0,0.0,0.0
241,Syrian Arab Republic,0,0,0,0,0.0,0.0,0.0
242,"Taiwan, Province of China",0,0,0,0,0.0,0.0,0.0
243,Tajikistan,0,0,0,0,0.0,0.0,0.0
244,"Tanzania, United Republic of",0,0,0,0,0.0,0.0,0.0
245,Timor-Leste,0,0,0,0,0.0,0.0,0.0
246,Togo,0,0,0,0,0.0,0.0,0.0
247,Tokelau,0,0,0,0,0.0,0.0,0.0
248,Tonga,0,0,0,0,0.0,0.0,0.0
249,Trinidad and Tobago,0,0,0,0,0.0,0.0,0.0
250,Turks and Caicos Islands,0,0,0,0,0.0,0.0,0.0
251,Tuvalu,0,0,0,0,0.0,0.0,0.0
252,Uganda,0,0,0,0,0.0,0.0,0.0
253,United States Minor Outlying Islands,0,0,0,0,0.0,0.0,0.0
254,Vanuatu,0,0,0,0,0.0,0.0,0.0
255,"Venezuela, Bolivarian Republic of",0,0,0,0,0.0,0.0,0.0
256,Viet Nam,0,0,0,0,0.0,0.0,0.0
257,"Virgin Islands, British",0,0,0,0,0.0,0.0,0.0
258,"Virgin Islands, U.S.",0,0,0,0,0.0,0.0,0.0
259,Wallis and Futuna,0,0,0,0,0.0,0.0,0.0
260,Yemen,0,0,0,0,0.0,0.0,0.0
261,Zambia,0,0,0,0,0.0,0.0,0.0
262,Zimbabwe,0,0,0,0,0.0,0.0,0.0
