,month_year_match,country,total_events
30,2015-10,Poland,16
32,2015-10,Russia,21
38,2015-10,Sweden,22
44,2015-10,Ukraine,18
45,2015-10,United Kingdom,3
46,2015-10,United States,9
5,2015-10,Brazil,7
10,2015-10,Denmark,21
13,2015-10,France,8
14,2015-10,Germany,13
85,2015-11,Poland,28
88,2015-11,Russia,22
100,2015-11,United States,9
93,2015-11,Sweden,30
98,2015-11,Ukraine,21
99,2015-11,United Kingdom,8
52,2015-11,Brazil,11
59,2015-11,Denmark,32
63,2015-11,Germany,17
62,2015-11,France,15
141,2015-12,Russia,17
138,2015-12,Poland,14
148,2015-12,Sweden,26
153,2015-12,Ukraine,15
155,2015-12,United Kingdom,4
156,2015-12,United States,10
115,2015-12,Denmark,24
109,2015-12,Brazil,1
119,2015-12,Germany,19
118,2015-12,France,11
190,2016-01,Poland,11
193,2016-01,Russia,16
197,2016-01,Sweden,14
205,2016-01,United States,5
202,2016-01,Ukraine,13
204,2016-01,United Kingdom,3
165,2016-01,Brazil,6
170,2016-01,Denmark,19
173,2016-01,France,15
174,2016-01,Germany,13
242,2016-02,Russia,14
239,2016-02,Poland,15
248,2016-02,Sweden,20
252,2016-02,Ukraine,15
254,2016-02,United Kingdom,10
255,2016-02,United States,10
217,2016-02,Denmark,23
211,2016-02,Brazil,6
221,2016-02,Germany,13
220,2016-02,France,12
300,2016-03,Poland,17
303,2016-03,Russia,20
309,2016-03,Sweden,23
313,2016-03,Ukraine,20
315,2016-03,United Kingdom,13
316,2016-03,United States,12
263,2016-03,Brazil,9
269,2016-03,Denmark,20
275,2016-03,Germany,21
274,2016-03,France,18
361,2016-04,Poland,14
369,2016-04,Sweden,19
374,2016-04,Ukraine,14
376,2016-04,United Kingdom,7
377,2016-04,United States,9
364,2016-04,Russia,14
327,2016-04,Brazil,8
332,2016-04,Denmark,18
337,2016-04,Germany,16
336,2016-04,France,11
410,2016-05,Poland,13
413,2016-05,Russia,9
417,2016-05,Sweden,20
421,2016-05,Ukraine,9
423,2016-05,United Kingdom,7
424,2016-05,United States,9
386,2016-05,Brazil,12
391,2016-05,Denmark,17
394,2016-05,France,12
395,2016-05,Germany,16
467,2016-06,Poland,11
470,2016-06,Russia,12
482,2016-06,United Kingdom,7
476,2016-06,Sweden,18
480,2016-06,Ukraine,12
483,2016-06,United States,5
438,2016-06,Denmark,18
433,2016-06,Brazil,8
441,2016-06,France,13
442,2016-06,Germany,13
531,2016-07,Russia,13
529,2016-07,Poland,10
538,2016-07,Sweden,15
542,2016-07,Ukraine,10
544,2016-07,United Kingdom,7
545,2016-07,United States,7
493,2016-07,Brazil,6
500,2016-07,Denmark,12
507,2016-07,Germany,13
506,2016-07,France,9
604,2016-08,Poland,18
607,2016-08,Russia,17
623,2016-08,United States,6
622,2016-08,United Kingdom,9
620,2016-08,Ukraine,17
614,2016-08,Sweden,22
559,2016-08,Brazil,10
567,2016-08,Denmark,23
573,2016-08,Germany,22
571,2016-08,France,10
670,2016-09,Russia,22
667,2016-09,Poland,16
677,2016-09,Sweden,26
683,2016-09,Ukraine,20
685,2016-09,United Kingdom,15
686,2016-09,United States,14
640,2016-09,Denmark,26
633,2016-09,Brazil,14
646,2016-09,Germany,20
645,2016-09,France,16
739,2016-10,Russia,19
736,2016-10,Poland,19
758,2016-10,United States,9
757,2016-10,United Kingdom,14
755,2016-10,Ukraine,14
748,2016-10,Sweden,23
705,2016-10,Denmark,28
697,2016-10,Brazil,16
708,2016-10,France,15
710,2016-10,Germany,14
802,2016-11,Poland,13
805,2016-11,Russia,17
812,2016-11,Sweden,23
817,2016-11,Ukraine,13
819,2016-11,United Kingdom,16
820,2016-11,United States,11
767,2016-11,Brazil,13
774,2016-11,Denmark,22
778,2016-11,Germany,9
777,2016-11,France,10
861,2016-12,Poland,7
864,2016-12,Russia,5
870,2016-12,Sweden,10
874,2016-12,Ukraine,4
876,2016-12,United Kingdom,5
877,2016-12,United States,5
828,2016-12,Brazil,8
835,2016-12,Denmark,11
840,2016-12,France,7
841,2016-12,Germany,5
916,2017-01,Poland,8
919,2017-01,Russia,9
925,2017-01,Sweden,13
930,2017-01,Ukraine,7
932,2017-01,United Kingdom,7
933,2017-01,United States,10
886,2017-01,Brazil,6
896,2017-01,France,12
897,2017-01,Germany,8
893,2017-01,Denmark,12
968,2017-02,Poland,8
971,2017-02,Russia,14
976,2017-02,Sweden,19
980,2017-02,Ukraine,12
982,2017-02,United Kingdom,9
