,map_names,variable,value
9,Mirage,Removed At First Pick,3102
10,Inferno,Removed At First Pick,2976
11,Train,Removed At First Pick,4179
12,Overpass,Removed At First Pick,4939
13,Dust2,Removed At First Pick,2454
14,Nuke,Removed At First Pick,6416
15,Cache,Removed At First Pick,3790
16,Cobblestone,Removed At First Pick,2172
17,Vertigo,Removed At First Pick,2041
18,Mirage,Removed At Second Pick,4116
19,Inferno,Removed At Second Pick,3909
20,Train,Removed At Second Pick,4721
21,Overpass,Removed At Second Pick,4974
22,Dust2,Removed At Second Pick,3118
23,Nuke,Removed At Second Pick,4296
24,Cache,Removed At Second Pick,3535
25,Cobblestone,Removed At Second Pick,2093
26,Vertigo,Removed At Second Pick,1291
27,Mirage,Removed At Third Pick,1538
28,Inferno,Removed At Third Pick,1541
29,Train,Removed At Third Pick,1566
30,Overpass,Removed At Third Pick,1522
31,Dust2,Removed At Third Pick,790
32,Nuke,Removed At Third Pick,1613
33,Cache,Removed At Third Pick,1192
34,Cobblestone,Removed At Third Pick,872
35,Vertigo,Removed At Third Pick,384
