,year_match,country,total_events
67,2015,United Kingdom,14
8,2015,Brazil,16
482,2020,Germany,16
520,2020,Sweden,17
481,2020,France,18
527,2020,Ukraine,19
511,2020,Poland,22
529,2020,United Kingdom,22
68,2015,United States,22
530,2020,United States,24
19,2015,France,26
470,2020,Brazil,26
478,2020,Denmark,29
514,2020,Russia,37
65,2015,Ukraine,40
20,2015,Germany,40
51,2015,Russia,46
48,2015,Poland,46
16,2015,Denmark,58
58,2015,Sweden,60
164,2016,United States,84
163,2016,United Kingdom,89
82,2016,Brazil,94
161,2016,Ukraine,119
98,2016,France,120
256,2017,United Kingdom,121
142,2016,Poland,121
100,2016,Germany,127
145,2016,Russia,130
198,2017,Germany,134
390,2019,Germany,136
453,2019,Ukraine,138
389,2019,France,139
257,2017,United States,142
180,2017,Brazil,142
254,2017,Ukraine,151
355,2018,Ukraine,155
433,2019,Poland,155
455,2019,United Kingdom,157
290,2018,Germany,160
456,2019,United States,161
235,2017,Poland,165
357,2018,United Kingdom,168
91,2016,Denmark,173
373,2019,Brazil,173
288,2018,France,174
154,2016,Sweden,175
445,2019,Sweden,185
358,2018,United States,187
196,2017,France,191
273,2018,Brazil,192
334,2018,Poland,193
384,2019,Denmark,197
238,2017,Russia,198
338,2018,Russia,217
347,2018,Sweden,219
189,2017,Denmark,238
283,2018,Denmark,249
436,2019,Russia,250
247,2017,Sweden,266
