,team_name,total_losses
1224,Virtus.pro,545
43,ALTERNATE aTTaX,429
1160,Tricked,408
527,Heroic,407
443,G2,404
242,Complexity,396
525,HellRaisers,395
1439,mousesports,385
659,Liquid,384
400,FaZe,381
361,Envy,378
40,AGO,372
770,NiP,372
365,Epsilon,363
1399,fnatic,362
626,LDLC,360
668,Luminosity,359
1072,Spirit,356
237,Cloud9,354
817,OpTic,352
943,Renegades,337
748,NRG,324
753,Natus Vincere,316
611,Kinguin,314
756,Nemiga,304
1452,pro100,302
507,HAVU,301
461,Gambit,300
845,PRIDE,294
1043,Singularity,292
450,GODSENT,287
1077,Sprout,286
1117,TYLOO,279
132,BIG,276
116,Astralis,275
789,North,273
293,Dignitas,268
995,SJ,261
418,FlipSid3,250
1401,forZe,249
1125,TeamOne,248
996,SK,241
55,AVANGAR,240
1064,Space Soldiers,237
210,CLG,230
24,5POWER,229
232,Chiefs,226
1255,Windigo,226
833,PACT,222
1339,eUnited,221
56,AVANT,220
732,Movistar Riders,217
325,ENCE,207
767,Nexus,205
502,Ground Zero,203
965,Rogue,203
334,EURONICS,197
540,INTZ,197
933,Red Reserve,193
310,DreamEaters,191
896,Quantum Bellator Fire,189
1259,Winstrike,188
736,Mythic,184
476,Ghost,182
1074,Splyce,182
229,Chaos,175
648,Legacy,175
119,Athletico,172
1198,Valiance,171
179,Bpro,169
248,Copenhagen Flames,168
578,Izako Boars,166
1233,W7M,165
574,Isurus,162
431,Fragsters,161
331,EPG,161
1212,Vexed,160
552,Imperial,158
320,EHOME,157
690,MVP PK,157
1205,Vega Squadron,152
1482,x-kom,152
396,FURIA,152
1215,ViCi,152
1342,eXtatus,150
353,Endpoint,150
1183,Unique,148
139,BOOT-d[S],147
1033,Sharks,147
840,PENTA,144
685,MIBR,142
1041,Signature,140
802,ORDER,135
490,GoodJob,131
498,Grayhound,131
1414,iGame.com,130
1097,Syman,126
548,Immortals,125
785,Nordavind,124
763,New4,124
260,DETONA,123
1120,Tainted Minds,122
1145,TheMongolz,119
526,Heretics,119
470,GamerLegion,119
1393,expert,119
417,Flash,118
1096,Swole Patrol,115
1026,Selfless,113
852,Paradox,106
183,Bravado,105
249,Corvidae,105
1260,Winterfox,104
721,Misfits,100
1114,TSM,100
1226,Vitality,100
1400,fnatic Academy,99
270,Dark Sided,98
466,GameAgents,97
158,Beyond,96
89,Ambush,96
929,Recca,96
17,3DMAX,95
1338,eSuba,95
1129,Tempo Storm,94
138,BOOT,93
1009,SYF,92
478,Giants,89
39,AGG,89
547,Illuminar,89
368,Espada,88
84,Alpha Red,87
441,Furious,87
666,Lucid Dream,87
163,Binary Dragons,86
790,North Academy,85
1192,VG.CyberZen,85
