,team_name,total_victories
495,Liquid,620
88,Astralis,597
864,Tricked,562
1068,mousesports,562
835,TYLOO,540
340,G2,519
178,Cloud9,517
1041,fnatic,516
308,FaZe,511
797,Spirit,502
27,AGO,501
574,Natus Vincere,492
399,HellRaisers,470
588,NiP,462
385,HAVU,459
715,Renegades,456
915,Virtus.pro,455
401,Heroic,455
623,OpTic,450
173,Chiefs,444
42,AVANGAR,440
30,ALTERNATE aTTaX,426
749,SK,421
570,NRG,411
463,Kinguin,401
936,Windigo,395
273,Envy,394
276,Epsilon,391
502,Luminosity,389
1043,forZe,387
377,Grayhound,383
603,North,375
792,Space Soldiers,358
96,BIG,347
245,ENCE,339
350,Gambit,339
304,FURIA,337
801,Sprout,336
471,LDLC,326
778,Singularity,325
183,Complexity,321
894,Valiance,307
906,ViCi,306
612,ORDER,292
841,TeamOne,290
343,GODSENT,286
219,Dignitas,280
1077,pro100,279
576,Nemiga,274
438,Isurus,248
15,5POWER,244
917,Vitality,244
132,Bpro,243
644,PRIDE,236
837,Tainted Minds,227
585,Nexus,221
558,Movistar Riders,221
520,MVP PK,221
420,Imperial,216
992,eUnited,216
730,Rogue,216
417,Immortals,211
995,eXtatus,208
748,SJ,205
43,AVANT,200
708,Red Reserve,197
330,Fragsters,195
515,MIBR,194
640,PENTA,191
923,W7M,188
253,EURONICS,186
409,INTZ,186
153,CLG,184
198,DETONA,183
170,Chaos,183
189,Copenhagen Flames,183
320,FlipSid3,178
135,Bravado,171
102,BOOT-d[S],168
319,Flash,166
816,Swole Patrol,163
486,Legacy,159
356,GamerLegion,157
773,Sharks,156
890,VG.CyberZen,152
632,Outlaws,150
12,3DMAX,150
231,DreamEaters,150
90,Athletico,149
1103,x-kom,147
777,Signature,147
939,Winstrike,146
362,Ghost,145
897,Vega Squadron,142
1074,paiN,141
634,PACT,139
250,EPG,137
677,Quantum Bellator Fire,135
799,Splyce,131
561,Mythic,131
817,Syman,130
381,Ground Zero,126
725,Rise Nation,122
240,EHOME,121
547,Misfits,118
